userName;rating;tanggal;ulasan;Keterangan
Tabibito Susucoklat enak tau;3;21/03/2024 07:28;Males banget ada bug setiap masuk ke tantangan keluar nya pasti gak bisa gara gara proses 30100 males banget males berin dong min males jadinya kalau main atau nyelesain quest waktu masuk ke catals juga sama stack terus mucul angka 30100;Negatif
Michael valentino3937;3;21/03/2024 22:48;Saat bermain game ini sebenernya bagus ,tp glich gedung gedung ,lantai itu ya parah lah glich nya ,tp saat perang lancar;Negatif
Septiyar ahya moslem;3;21/03/2024 23:36;Saya ada keluhan sedikit sya tidak bisa login hsr ada pesan khusus pesan eror distribusi global jaringan saya disini bagus dan stabil tapi tetap tidak bisa login;Negatif
Pengguna Google;3;22/03/2024 03:45;Tolong perbaiki untuk tampilan saat bagian loding itu Animasi gambar Kereta nya sangat Berat🗿,tapi di dalam game lancar dengan settingan paling rendah 🗿,saya harap untuk meringankan tampilan bagian login nya🗿🙏;Negatif
Phantomfox06;3;24/03/2024 21:57;Update 25/3/24: Jujur untuk versi 2.0 ini agak mengecewakan buat saya dari berbagai aspek. Banner Sparkle nya mengapa harus ditambah waktunya? Kayaknya kemaren black swan aja nyelesain story sama event ga berasa udah ganti. Lah ini Nungguinnya berasa lama banget, ditambah end game content yang emang dikit banget selain moc sama pure fiction. Jadi emang aktivitas kita sangat sedikit.;Negatif
AL FAZAR TUR HAKIM;3;25/03/2024 13:57;"GAMENYA BAGUSSS, tapi aku kasih bintang 3 dulu, soalnya cs hsr nya di email ga dibales baless, padahal cuman pengen nanya kenapa saya tidak bisa login hsr dan selalu muncul ""terlalu banyak permintaan, silahkan coba kembali beberapa saat"" padahal cuman pengen ngerjain quest biar bisa nabung star jade buat gacha Archeron:((((";Negatif
Heavy Sweating;3;04/04/2024 12:10;Aslinya 5 star, tapi kenapa sekarang sering banget gagal login woyy, capek gw liatnya, tolong perbaiki error kode 1001_1 nya ya. Walaupun ping ingame udh membaik tapi koq malah sulit buat login;Negatif
Ardi Akira;3;14/04/2024 12:13;Developer tolong benerin kenapa game ku nge Bug lantai sama bangunannya ilang nge bling bling gitu udah dicoba reset hp tetep sama aja tolong bantu saya developer device:Oppo Reno5;Negatif
Dikz lonely;3;14/04/2024 15:33;Untuk gamenya udh bagus juga dan grafik nya udh lumayan hd,jadi tolong perbaiki gamenya,saat udh dalam permainan kek ada bug gtu tempatnya juga ke bug juga,nah untuk developer nya mohon di perbaiki bug nya dan juga kurangin patah2 nya saat mainnya,udh cuma itu yang saya sampaikan 🙏.;Negatif
salma janah;3;16/04/2024 13:07;game nya bagus, minus kalau mau ngunduh data' banyak bangett samle bergb gb/lama banget nunggu berjam-jam, game nya uda bagus. itu aja si;Netral
Tomi Kurniawan;3;16/04/2024 14:35;Game ini seru tapi kalau mau log in ga masuk2 padahal sinyal bagus. Pakai wifi pun ga masuk2 tolong dipermudah log in nya. Sementara saya kasih bintang 3 karena msh banyak log in eror dan lag.... HP saya ram nya cukup ga kaleng2 tapi gagal masuk terus!?;Negatif
Amira Redinata;5;24/04/2024 21:46;Gamenya baguss banget asli, dari segi grafik sampai karakternya keren semua. Main di resolusi yang rendah aja smooth banget. Kalian wajib cobain juga deh game yang ramah banget ini buat hp kentang😁;Positif
Ja_number four.;5;26/04/2024 00:28;Secara keseluruhan game ini bagus, dari segi gameplay (tergantung preferensi), story, dan musik dengan ditambah banyak kalimat yang memeable, walaupun game ini ceritanya agak ekstrim, setiap pindah ke planet baru pasti ada karakter yang mokad/hampir mokad.;Positif
Fawwaz Dzaky;4;27/04/2024 08:17;Game seru, game baik, alur cerita menarik mekanik mudah dipahami banyak fitur² pembantu yang mempermudah pemahaman didalam game ada fitur teleport, pencari item otomatis, karakter banyak yang cantik² + ganteng, game baik, grafik gak usah ditanya. Tapi yang paling saya suka dari game ini adalah selalu dikasih bansos gratis, BANSOS BANSOS BANSOS, gak heran dijuluki game baik.;Positif
Alrico Yudhistira;5;28/04/2024 03:48;Bagus sih, mulai dari gameplay, grafik dan story, untuk game berbasis turn base, ini good banget, di tambah ada beberapa movie scene saat kita mengerjakan story, berasa nonton film njir🤣. Dan ya Honkai always be honkai! ada banyak kisah menyentuh dan bikin haru padahal cuma kisah NPC yg gk playable, dan beberapa karakter nyaris mokad bahkan mokad, jadi apakah sebenarnya ini HI4🗿;Positif
CYBER NGHT;4;28/04/2024 14:19;Gamenya bagus dari grafik dan charakter cuma ada bug render visual tempat yang eror dan itu sering membuat beberapa bangunan menghilang,beberapa karakter ada yang visual ultimate yang menghilang.Ini saya alami sejak update 1.1 tolong diperbaiki;Negatif
Nur Fitriana;5;29/04/2024 08:15;Helio G99 dengan settingan resolusi tinggi, 70℅ lancar, 30℅ fps nge-drop. Tidak jauh beda saat resolusi sedang. Untuk battle-nya jg menurut saya kurang asik karena nyerangnya ganti-gantian. Kita nyerang sekali, setelah itu giliran musuh nyerang kita, kita nyerang musuh, musuh nyerang kita, gitu seterusnya. Jadi kurang fleksibel, gak kayak game RPG lainnya yg bisa nyerang kapan aja dan gerak ke mana aja. Untuk animasi dan suaranya sudah bagus.;Positif
Amira;5;08/05/2024 02:53;Ya... aku kepo dengan game ini yang kapasitas penyimpanannya lebih kecil dari pada genshin jadi aku download,nah stelah ke download harus update dulu ampe 3x😭,tapi gak papa ini gara2 aku download waktu dia update,nih game seru bikin aku ngakak terus soalnya tempat sampah pasti di periksa😅😅,walau gak bisa loncat tapi stamina gak abis,terus game ini juga perlu strategi(game apa yang gak perlu strategi?tergantung orangnya)grafik ok map gak bsr2 amat soalnya pesawat rocom buat yang gak bs genshin;Positif
Prabowo Boemi.w.;5;08/05/2024 03:37;Best game so far, gameplay walaupun turnbase tapi ga bosenin, karakter bervariasi dan banyak, storynya mantep. Lanjutkan hoyoverse:D;Positif
Pernandus Leonardy;5;08/05/2024 04:47;Untuk update kali ini saya tidak bisa bermain Gamenya selalu di paksa keluar padahal penyimpanan masih sekitaran 10GB,dan setiap saya memulai layar selalu hitam, nama Hoyoverse tidak muncul dan akhirnya di paksa keluar. Saya masih ingin bermain tapiiii...saya minta maaf;Positif
Alfian Rifky;5;08/05/2024 06:44;Ni game sampai saat ini masih bagus, tapi saran saya apabila pengen warp dengan star rail special pass di kasih peringatan seperti menggunakan jade crystal. Karena saya selalu saja menekan tombol itu dengan tidak sengaja;Positif
Shafwan xD;5;09/05/2024 01:09;Permainan bergenre turn base yang membuat permainan cukup santai, design karakter yang menurut gw bagus walaupun ada yang daur ulang. Hal yang suka digame ini adalah mudah untuk kemana mana sehingga tidak banyak waktu yg digunakan untuk bermain game ini.;Positif
Isah Asiyah;4;09/05/2024 01:11;Tambahkan menu di halaman utama untuk mengubah mode ke controller jadi ga harus relog dulu baru bisa main di controller;Netral
21 Mika Saputra;5;09/05/2024 02:44;This is Game is to Good for the mobile device.Kita emang bener bener dibawa ke sebuah pengalaman merasakan sendiri bagaimana JRPG seperti Persona,di platfrom mobile dengan gratis tanpa ribet memakai konsol game.Combat perfectly Epic,Story juga menjiwai sekali,dan pemilihan VA yang sangat sangat tepat dengan karakter yang bawa.Absolute Best!!.;Positif
Nazriel Alamsyah;5;09/05/2024 03:02;Gameplay dan story nya udah bagus tapi tolong tambahkan fitur menurunkan level equilibriumnya agar para pemula yang tidak tahu cara membuild character nya bisa melawan musuh/bos nya;Positif
Yusuff;2;09/05/2024 07:08;Menurut saya dari segi grafis sudah bagus,design charanya juga bagus, event nya pun juga banyak cuma ada beberapa yg kurang yaitu di bagian segi storynya yg menurut saya kurang berkesan dan terlalu biasa saja lalu ada beberapa hal lagi yg harus dioptimalkan agar membuat pengalaman bermain lebih baik...;Negatif
Syarif Udin;5;09/05/2024 07:21;Story terbaru ok, tapi untuk farming material di konten weekly boss nya ditambah dong jangan cuma 3 kali, jadiin 5 kali gapapa butuh baget buat upgrade trace, juga tambahin jumlah anggota yang digunakan dalam 1 tim jadi 5 biar pas kaya Lore yang 5 orang anggota express;Positif
#NAME?;1;09/05/2024 10:12;PLEASE HSRRR, Aku heran sejak Ver 2.2, aku suka terkeluar dari game nya sendiri padahal penyimpanan ku masih sisa 11 GB, pas mainnya masih oke tapi pas bagian dialog nya suka keluar sendiri, tolong di perbaiki/update soalnya udh lebih 6 kali dan saya org nya gabisa sabaran klo udah lebih segitu 😭😭😭😭;Negatif
Unknown 18;5;09/05/2024 10:39;Story yah gk beda jauh konsepnya ama hi3(emang se universe+writer storynya sama), game nya simpel(walau ada event simulated universe yang butuh strategi yang bagus buat kelarin) tutorial mudah dipahami,;Positif
Humam;4;09/05/2024 12:29;Cuma satu minus di game ini, kurang kompatibel di beberapa device mid-range karena semakin di paksa main lama maka semakin panas + frame drop, sekali pun grafik Low 60fps, apalagi pas di adegan & suasana banyak efek-efek tertentu pasti bakalan mengalami yang namanya frame drop, padahal game ini bukan berkategori game open world, di sarankan main menggunakan cooler agar membantu menstabilkan performa. Selain itu game ini cukup have fun untuk di mainkan, nice Job Gamenya Mihoyo :3;Netral
rafif arsyad;5;10/05/2024 04:16;animasi nya bagus banget, dari segi story juga keren banget, kadang bisa terharu kadang kocak nya minta ampun. salut, Hoyoverse!;Positif
Wawan Wawan;1;10/05/2024 11:07;Lawan mutu yg level nya sama susah bgt menang, pdhal sudah tambah kekuatan jga. Mana pas cerita kga bisa di skip Kya genshin , , game ini sekarang banyak masalah, gak nyaman buat di mainkan. Lama lama ini game di tinggal player nya klo kga mw dengerin keluhan player.;Negatif
Kanggo Game;3;13/05/2024 09:35;Udah Bagus Tapi Di Bagian Cutscenenya Tolong Di perbaiki lagi karena lag parah, Saya Saranin Ada peraturan buat nurunin resolusi atau sejenisnya di cutscene karena tidak semua hp kuat, tolong Dijawab min;Negatif
Faiq Taufiqurrahman;3;15/05/2024 09:16;Update nya lama banget sumpah apaan dah 2 jam an apan coba ga bisa di percepat?;Negatif
Kingwolf Lotts1;3;15/05/2024 09:17;Mekanik Turn Base yang ok tapi ada yang kurang. Seperti saat kita berhasil nge break Weakness semua musuh sekaligus kita tidak dapat keuntungan apapun. Contoh Persona 3-5, ketika kita berhasil menyerang semua musuh dengan efek weakness mereka kita mendapatkan keuntungan All Out Attack. Sayangnya disini tidak ada sama sekali seperti hal tersebut. Belum lagi class dan tipe karakter yg cukup membingungkan. Harap diberikan penjelasan yang mudah dimengerti atau diberikan tanda khusus.;Negatif
Almach_ tion;5;16/05/2024 06:52;saya sangat menyukai game ini karena gameplay nya yang santai dan juga open world, cerita yang beragam dan karakter yang beragam. yang paling penting saya harap game ini selalu stabil dan bagus saya ingin game ini menambah fitur yaitu menambah atribut pada karakter utama seperti rambut, atau lainnya;Positif
Syifar;5;17/05/2024 01:32;"Grafis bagus, bansos mantab, ga gitu berat gamenya. Story dan BGM nya keren"", minim bug sekarang. Yg paling penting dengerin keluhan"" playernya, moga makin sukses gamenya";Positif
Tom My;2;17/05/2024 04:40;bintang 2 dulu soalnya di aku ada bug transparan di bagian backgroundnya yang lain juga banyak yang ngeluh karna ini tolong di fix min 😭😭😭🙏🙏🙏 mau main aku;Negatif
Rio Dah;2;20/05/2024 06:08;Optimalkan servernya pliss sinyal bagus tapi ngelag di in-game loading terus menerus, itu sangat mengganggu kenyamanan bermain;Negatif
Cynnn。;1;21/05/2024 06:47;Game opo seh Iki baru ae main langsung di kasih lihat glitch map nya jadi pixel pixel amburadul Ra jelas Setelah itu langsung force close, asem tenan , genshin aja yang ukuran game nya lebih besar aja masih bisa main normal masa HSR Ndak bisa sih #Kecewa_Berat;Negatif
A A;3;21/05/2024 17:10;Tolong dong benerin setiap login selalu memuat data dan itu selalu eror mulu lama masuknya sampe 3x bahkan suruh update launcher. Udah enak bansos ngalir terus cepet punya karakter B5 ini mah tapi tolong lah. Dan juga setiap scene scene selalu patah patah ga lancar tapi selain scene selalu lancar lancar saja semoga 2.3 lebih baik dan kasih restu menang dapet Firefly dari hoyo tolong dan terimakasih game baik untuk saat ini saja beri bintang 3 dulu;Negatif
Shinta Embun;3;24/05/2024 07:44;Dari segi grafik emang udah bagus, banget malahan, tapi ya sayangnya padahal udah pake settingan paling rendah tu kadang ada bangunan/lantai yang nge glitch jadi transparan, jadinya kalo buat eksplorasi itu kadang bingungin, gamenya juga suka nge crash gitu, padahal ram ku 8gb sama penyimpanan ada sisa 15gb an, mana pasti nge crash nya itu pas di loading screen jadi nya ngerasa kayak di php in HSR :');Negatif
Ilham Realme;1;25/05/2024 02:02;Developer tolong kalau buat boss itu yang setara gitu, karakter saya tidak bisa melawannya dan tidak semua orang bisa membuat karakternya menjadi sempurna pahami kami juga gimana mau menyelesaikan story kalau bossnya aja ga ngotak;Negatif
Frans Wibu;5;25/05/2024 02:48;Mekanik gamenya seru, eventnya variatif, desain karakter cantik, visualnya cakep, dan yang paling kusukai alur ceritanya terutama di Penacony yang bagus banget ya meskipun yang loufu agak kureng. Saranku adalah untuk terus meningkatkan kualitas game, membuat alur cerita yang menarik dan tentu mengungkap semua hal yang telah diungkapkan di story sebelumnya, dan membuat desain karakter yang bagus lagi👍;Positif
Beryl Beryl;3;25/05/2024 13:58;Semua oke, kurang nya cuma ga ada fitur skip dialog/cut scene, reset karakter, bisa turun naik equilibrium.;Negatif
Dylan Zheng;5;27/05/2024 01:16;Saya sangat suka sekali gameplay game ini. Sangat seru saat bertarung dan juga terdapat banyak sekali hadiah untuk pemula dan juga Sepuh. Terimakasih Hoyoverse untuk membuat game ini. FYI:Kita bisa mendapatkan 10 pull tiap update dengan gratis hanya dengan login 7 hari.;Positif
Muza Mazin;3;27/05/2024 04:18;Game ini sangat memuaskan saya. Tapi entah kenapa sekarang ini sering ngebug game nya tiba-tiba gambar nya hilang dan nyangkut serta tidak bisa di pencet, sekian dari saya tanks mihoyo.;Negatif
X;5;27/05/2024 05:23;build karakter sudah optimal dari segi artefak dan waktu bermain tidak terlalu lama terkecuali quest story. untuk optimasi menurut saya sudah cukup optimal dibanding dahulu pas awal rilis bikin hp cpt panas dan memicu ledakan nuklir yang sangat berbahaya untuk tubuh manusia :'3;Positif
Yutaki X;5;27/05/2024 12:21;Gamenya keren banget. Mulai dari mekanik, tampilan game, desain karakter, story, map, bahkan ampe event gachanya bagus2 semua, salut deh ama hoyoverse.👍;Positif
Eagle Dark;5;27/05/2024 16:08;Semenjak update 2.0 jadi sering ngefreze saat battle,sama kadang kadang juga force close sendiri, padahal udah rata kiri, sedangkan Genshin dengan grafis medium atau bahkan tinggi masih lancar saja;Positif
the_raaa;5;28/05/2024 08:33;"makasih developer di game ini tidak kikir, bansos bejibun anjay mantap sekali dan gacha gweh selalu wangy di sini 🤟 gameplay seru + story nya gak bosenin gk bikin ngantuk juga grafik nya juga bagus bangettt tapi sesekali patah"" sih mainnin nya tp gpp tetep bagus, panjang umur game baik 😋🤝";Positif
Nanda English;2;28/05/2024 15:08;Tolong dong ketika cuctscenenya berat banget, optimalkan bagian cutscennya sehingga tidak ngelag yang hal tersebut menganffu kenyamanan untuk memahami storynya. Untuk battle tidaj ngelag akan tetapi dibagian cutscene ngelag sekali. Contoh deh wuwa pakai unreal engine 4 tapi ketika bagian cutscene tidak ngelag malah smootg banget. Sementara game hoyoverse kebanyakan ngelag saat dibagian cutscene baik itu genshin maipun honkai star rail.;Negatif
AgentPega 11;5;29/05/2024 09:40;Alur ceritanya menarik, lawan nya sangat menantang sehingga pertarungan jadi seru, dan sellau bikin aku menangis setiap waktu, the best nih Game;Positif
Ozhes Syxs;4;30/05/2024 02:05;Saya turunin bintang nya di playstore.. karena terlalu banyak obrolan yang ga penting di history nya.. yang ga bisa di sekip, membuat hp cepat low .. mata cepat ngantuk karena nunggu obrolan di history nya, 😮 yang lainya sempurna;Negatif
Megumi Ataeru;5;31/05/2024 03:00;Gameplaynya gampang, alur cerita juga menarik, bansos juga lumayan banyak. Tapi ada fitur yang kurang, yaitu fitur reset level (character yang di reset semua material upgrade nya di kembaliin) jujur aja nih game sulit banget kalo soal ngumpulin material up level.;Positif
Muhammad Fitri Nazari Nazari;5;31/05/2024 13:26;Dari segi alur cerita atau storynya bagus banget dan menarik ceritanya. Grafis dan desain karakter cakep dan memukau. Untuk gameplay agak sedikit membosankan namun bagi yang suka turn base ya gak masalah. Game nya cocok cocok aja sih. Mungkin bagi yang suka fight battle kurang cocok. Klo aku sih bagus bagus aja apalagi menurutku gamplaynya unik karena tiap karakter itu punya path nya masing masing itu sih yg ku suka. Saranku untuk game HSR kedepannya lebih dibagusin lgi dari segi fitur fitur nya;Positif
Muhammad Putra;5;01/06/2024 05:21;menurut gua story quest nya aja udah bagus banget, kemudian event nya unik, puzzle dari game ini tuh menarik banget karena cukup menantang bagi pemain nya, dan desain dari karakter beserta skill nya juga pada bagus dan unik banget.👍🏻;Positif
Zand;5;01/06/2024 13:38;Jujur pengalaman ku semenjak awal rilis HSR ini cukup excited yg dimana aku bisa bermain game hoyo lagi, udah lama sekali semenjak bermain game hoyo dimulai dari honkai impact sampai ke genshin dan itu pun membuatku boring. Game yang cukup fleksibel dan mudah utk dimainkan menurutku terutama farming gold segala macamnya itu bisa di otomatis.., event atau pun bansos juga banyak.., TAPI KENAPA HOYO SELALU MEMBERIKU LOST PITY SAMPE-SAMPE BAILU E3, AKU PADAHAL SUDAH MENUNGGU RERUN-NYA FU XUAN.. WHY?;Positif
M.andhika. o.p;5;01/06/2024 15:33;Pecinta game turn base, penikmat story dalam game, koleksi waifu, cukup ramah f2p, wajib nyobain dan mainin game Hoyoverse satu ini, terimakasih atas 1 tahunnya Honkai Star Rail saya sudah bermain game ini;Positif
MARSVIN Adm;3;02/06/2024 05:49;Game ini bisa dibilang bagus sering memberikan reward untuk playernya tapi sayangnya gak bisa Mabar apakah bisa ditambah fitur Mabar bersama teman;Netral
Nabara Arito;5;02/06/2024 12:29;Gameplay yang nggak ngebosenin dengan alur cerita yang luar biasa bagus,lagu iringan dari setiap tempat/map yang berbeda beda menjadi kelebihan digame ini.Cutscene yang bahkan lebih enak ditonton dengan grafis yang memukau membuat alur cerita lebih hidup.Minigame yang seru dan bervariasi membuat game tidak monoton.Banyak sekali hadiah gratis yang membuat player F2P bisa mendapatkan karakter 5 Star dengan mudah.Fitur tambah teman juga bisa mempermudah player berinteraksi dengan orang lain.Thanks!;Positif
RiezzEbra_05;5;02/06/2024 22:08;Ini adalah game rpg terbaik setelah genshin banyak sekali event² yang bisa membantu progres player dalam bermain game, game ini juga menampilkan grafik yg sangat memukau,saya harap game ini bisa dimainkan banyak orang buat kalian yg baca ini download gamenya dong, Bantu Author nya dengan top up dll;Positif
Not Fapuu;4;04/06/2024 08:05;"Awal maen biasa"" aja walaupun GPU gak bisa render enviroment, tapi kenapa kalau sinyalnya jelek langsung frame drop. Tolong dioptimalkan lagi hoyoverse";Negatif
Ikhsan Akbar syahreza;5;04/06/2024 10:37;"Bagus banget sih,jarang ada game mobile punya gameplay seperti di konsole gitu.Kalau story bagus sih dan gk monoton dan bosenin,event bagus,model char keren"",DLL.Terutama bansos buat player pemula melimpah(Tapi gw dpt clara woilah😹).";Positif
Jascha Richter Joshua Toding;2;04/06/2024 11:07;"Tolong dong untuk permasalahan bind akun dipermudah, ini saya mau bind akun wktu saat mau memverifikasi kode di kasih mini verification untuk mencet"" ""Gunkan urutan ini"" Tapi selalu gagal tulisannya coba lagi, klo kaya gini ga bsa bind akun google ke akun Hoyo";Negatif
Naila Azzahra;4;05/06/2024 12:54;gameplay sangat memuaskan, tetapi hal yang saya sayangkan adalah beberapa new karakter limited banner yang dmgnya tidak bisa menyaingi dmg karakter lama, bahkan artifak op tidak bisa membantu sama sekali (uhuk Topaz);Netral
M. Ilham Septiadi. S;5;05/06/2024 19:11;Sangat bagus, bisa eksplorasi banyak tempat menarik, design karakter nya bagus2, ada beragam event dan cerita utamanya keren. Gamplay lumayan santai karena turn-based tapi tetap ada mekanik tertentu yg perlu dipahami;Positif
Jujun Hermanto;4;06/06/2024 02:23;kenapa di setiap scene selalu macet macet? Pdhl di gameplay pakai high grafik masih lancar, tolong diperbaiki lagi karna minusnya itu aja yg lainnya udh enak🙏👍;Negatif
ExeLuna : Amaterasu;5;07/06/2024 16:54;Bansos deras, mekanik gameplay seru walaupun manen material boss agak sulit, tapi story nya makin hebat tiap update memang rekomend banget main nih game;Positif
Elizabeth Naomi;5;08/06/2024 10:02;Game ini sangat bagus, asyik dan menyenangkan serta alur cerita yang menarik, penuh misteri dan kejutan... Jujur pertama kali mainnya, gue bingung mekanisme nya, namun akhirnya terbiasa dan membuat gue jadi paham apa itu strategi pertarung.. 👌👌😁😁;Positif
LUX ARCADIA;5;08/06/2024 12:50;Bintang tidak pernah berbohong, tapi yah tergantung device nya masing2 ya, klo misal force close berarti device nya udh gk kuat utk nopang game hsr;Positif
Komang Sugiana;4;08/06/2024 13:24;Gamenya bagus dan menarik. tapi, map di penacony grand theater ngeglips sekali dan lokasi terlalu terang sekaligus tidak jelas sehingga susah untuk melihat diponsel sya. minta tolong pihak mihoyo atau hoyoverse perbaiki map di penacony grand theater hsr mobile supaya nyaman untuk dimainkan🙏🙏 terimakasih 🙏🙏;Netral
Rafi Putra Ardhana;5;09/06/2024 06:27;Ini kenapa stuck di loading screen yah? Seolah olah tidak mau masuk karena pake wifi dan harus pake paket data. Biasanya tidak pernah!;Positif
Kinananaa :3;5;09/06/2024 10:59;game nya bagus, seru, asik, lucu, karakter sama cerita nya jugak bagus amay sangat direkomendasikan 💯💯💯‼️‼️‼️🔥🔥💥💥💥(PULANGIN AVENTURINE GAK. ) (JIR BENERAN PULANG AWOAKWOAKWOKAA ILY) (Gimme his e6 nt, thx:3);Positif
Fifah N.I;5;10/06/2024 15:18;suka banget sama game ini, begitu juga dengan genshin. tapi jika disuruh memilih saya lebih memilih game ini. dari segi grafik tidak jauh beda, namun dari segi penyimpanan jelas ini lebih baik dan untuk cara bertempur saya lebih suka di honkai. Semoga jadi lebih baik lagii genshin dan honkai, see you;Positif
Keizha Nur Praditya;2;12/06/2024 10:59;Terkadang saat saya akan keluar dari battle stuck padahal tidak lag dan musuhnya karakterku juga bergerak tapi tidak ada tombol serang pengaturan dan tidak bisa keluar dari battle;Negatif
Rachel Tamariska soehendro;4;12/06/2024 11:57;Mantap sekali, karakternya cakep2, skill2nya mudah di pahami. Cman pls boss2 di Penacony ni kan nyebelin2 kasih lah character counternya, kayak penghancur shield buat boss sunday kan lumayan itu.;Positif
15Bay_u;5;12/06/2024 15:34;Setelah main satu tahun aku suka dengan gamenya, tapi untuk sizenya tolong hoyoverse, please tambahkan fitur hapus data yang dahulu biar mainya enteng ini bukan game openworld seperti genshin impact,mohon didedengar ya hoyoverse permintaan kecilku ini, good luck hoyoverse!!;Positif
YAKIN DEKS;4;13/06/2024 11:08;Game nya bagus dan juga lumayan seru dan sangat lancar di ho kentang saya aku kasih bintang 4 karna hp saya saat cutscene patah patah, nmnya juga hp murah sih tapi tetap seru meski rata kiri;Positif
イライザ;2;13/06/2024 13:57;Woy hoyo,hsr di perbaiki lg lah,w udh unduh data ny eh mlh pas udh mau masuk ke in game ny mlh di suruh download ulang,perbaiki lah ini bug nya hoyo,bikin game elit,perbaiki bug sulit😂;Negatif
Hokai Great;4;16/06/2024 11:09;Semuanya udah bagus.. dri segi cerita, gameplay((lumayan)), karakter.. dan sebagainya.. tpi saya punya 1 keluhan yang membuat rating dri saya gak sempurna.. yaitu.. bwang nerf boss fightnya Sunday bwang.. saya ngestuck 1 bulan bwang.. tolong dinerf.. apalah daya saya seorang f2p 😭😭;Positif
Abdulloh Fauzan Jaya;5;16/06/2024 14:17;Gamenya bagus, story nya top, gameplay nya turn base buat orang² yg mau nyari game santai Honkai Star Rail sih recommended nya, cuman saya mau memberi sedikit saran yaitu utk data quest terdahulu itu bisa dihapus kayak Genshin jadi ga menuh menuhuin ruang penyimpanan 🙏, saran saya cuma itu saja karena saya yg ROM 64 merasa size game 22gb itu termasuk sgt besar jadi mohon utk update kedepannya bisa terwujud. Sekian terimakasih;Positif
Rendi 310;5;16/06/2024 20:12;Salah satu game yang bikin aku semangat buat balik ke tipe rpg turn based, walaupun game ini ngasih story sampingan gak ngotak tapi story utama nya boleh lah;Positif
Fiorentina auvillia Oenang;5;17/06/2024 15:56;"awalnya gue ngeremehin banget ini game ""apaan coba game turn-based pasti ngebosenin banget."" Dan ternyata gua salah besar, setelah gua download gua ga bisa berhenti ataupun merasa bosen di game ini. Semua hal dari gamenya menurut gua menarik apalagi gua suka playstyle santai, dari segi story, grafik, character dan gamenya sendiri serta musuh2 pun sangat seru dan menarik dengan ciri khas masing2. Bansos disini juga jangan ditanya, luar biasa banget kwwkk, overall gua suka banget sama hsr ini.";Positif
Myster X;5;17/06/2024 17:22;Gamenya bagus tapi sumpah aku benci dengan art style yang di bikin sama fans honkai, kayak fandom gitu, jual gambar pornografi dari game ini, sebenarnya yang saya ingin kan main gamenya entah kenapa banyak refrensi tentang gambar gambar pornografi, bahkan clara dibuat mod hamil, astaga (－‸ლ);Positif
